Win,Score,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,30,Baylor,Creighton,.5812,.5645,22,26,11,7,.5987,.6280,76.5,83.8,0,0,35,15,.8492,.9121,0,0,31,8,118.3,124.1,101.5,102.2,.5893,.5757,10,8,8,12,8,8,8,4,8,5,8,5,0,0,6,10,138.648,141.179,6,3
0,-8,Oregon,Wisconsin,.5695,.5713,23,26,9,7,.6040,.6382,82.3,84.7,0,0,20,11,.8524,.9000,0,0,30,11,118.1,119.6,100.0,98.0,.5763,.5986,9,9,7,10,8,7,9,4,8,4,8,4,0,0,13,16,163.195,170.000,7,2
0,-2,Wichita St,Kentucky,.5129,.5494,34,24,0,10,.6437,.6173,88.4,84.9,0,0,3,10,.9391,.8844,0,0,5,17,118.3,116.0,90.9,95.4,.5446,.5966,12,7,6,2,3,4,0,6,13,6,13,6,0,0,34,5,296.568,332.545,1,8
0,-15,St Louis,Louisville,.5565,.5451,26,29,6,5,.6057,.6125,78.7,88.2,0,0,30,4,.8286,.9515,0,0,34,2,104.7,118.3,89.5,88.8,.5490,.5455,8,11,6,3,5,4,4,5,19,16,14,16,1,0,18,7,135.774,460.000,5,4
1,20,Tennessee,Mercer,.5494,.4626,21,26,12,8,.5835,.5504,78.6,62.4,0,0,31,103,.8968,.6578,0,0,13,99,114.0,107.9,93.1,100.8,.5733,.4772,7,9,0,-2,3,0,6,2,7,44,7,19,0,5,5,8,24.101,5.567,11,14
0,-14,Texas,Michigan,.5812,.5713,23,25,10,8,.5918,.6276,74.2,80.8,0,0,45,23,.8137,.8938,0,0,39,15,110.1,123.3,95.6,100.8,.5647,.5911,6,9,4,15,6,10,8,5,8,5,8,5,0,0,7,10,61.882,340.000,7,2
1,13,Kentucky,Cincinnati,.5557,.5264,34,22,0,10,.6780,.5828,95.3,73.0,0,0,1,45,.9787,.8242,0,0,1,34,119.7,106.7,85.8,93.3,.5704,.5516,12,7,22,9,11,6,0,3,9,26,9,11,0,3,34,5,461.909,120.000,1,8
1,10,West Virginia,Maryland,.5882,.5666,23,27,9,6,.6042,.6262,79.4,78.2,0,0,22,27,.8539,.8289,0,0,25,33,111.2,108.5,95.4,94.6,.5678,.5595,6,9,6,6,7,5,8,4,10,12,10,12,0,0,7,8,23.279,5.161,5,4
0,-3,Butler,Notre Dame,.5728,.5679,22,29,10,5,.5932,.6160,79.3,84.2,0,0,23,9,.8624,.9127,0,0,23,10,107.5,122.2,91.7,99.7,.5672,.5428,8,9,4,11,6,7,8,3,7,12,7,12,0,0,5,11,63.029,26.875,6,3
1,13,Wichita St,Kansas,.5134,.5882,28,26,4,8,.6155,.6687,83.3,86.4,0,0,13,8,.9044,.9111,0,0,14,11,113.0,110.8,92.9,90.5,.5245,.6261,10,7,2,17,2,12,2,7,15,2,15,2,0,0,9,8,240.000,240.000,7,2
